ID,Group,Feature_1,Feature_2,Feature_3
ID000,B,2656.1723668012655,414.07425708963996,5310.149976309273
ID001,A,2456.5281902536435,392.2593290767394,5424.786442407012
ID002,A,2703.640366057678,401.44181165411476,6095.960469752967
ID003,C,2978.857258127803,393.0658706694244,-2595.3816915381817
ID004,C,2426.379615915192,393.48255658851525,-2038.6899815928612
ID005,A,2426.3847778430977,395.3624181479704,5290.902299490337
ID006,C,2996.5217954542604,403.33200657450567,-2591.717745087817
ID007,B,2741.2898792811075,392.81877067504786,5502.07590006385
ID008,B,2352.3921141373758,418.8363418836028,4708.661179552144
ID009,B,2670.586816632748,386.58089046670744,5338.145391239981
ID010,C,2354.2964047523983,397.1969253375796,-1960.6012146418052
ID011,A,2353.5694675420445,393.4040341258874,5074.929942292337
ID012,A,2576.0755867293024,421.704668265306,5630.300736187142
ID013,A,1898.4437480774673,402.9483216476736,3679.6555896298805
ID014,B,1957.6669522940342,415.47766809202955,3913.1681456249808
ID015,B,2323.2106459378206,377.7165944044454,4684.73858268978
ID016,C,2181.5548091921846,404.00575398803886,-1773.9640203037575
ID017,C,2598.802801158111,413.34446193435156,-2194.4798318249013
ID018,C,2214.50729131233,401.23425983913137,-1818.389322627665
ID019,A,2055.9562570492485,415.98220562598027,4101.739091528205
ID020,A,2960.816016121578,392.24067324849443,6922.6039270487145
ID021,B,2429.0134597517326,421.1402116027837,4840.767583763657
ID022,C,2521.2316067259612,434.4834718542887,-2075.71738765677
ID023,C,2052.043574784683,394.55742159340514,-1665.503882217746
ID024,B,2328.840112528671,393.3174621789884,4680.159798371952
ID025,A,2534.8752763771636,421.8007671567655,5508.582570136239
ID026,A,2138.1150203404177,423.6935821859607,4290.509287343545
ID027,B,2618.1235694048405,392.157099592701,5251.619335150503
ID028,C,2311.1526212241633,393.6971977435621,-1916.6411573542723
ID029,A,2408.2882921491428,395.77323086709237,5256.232006213433
ID030,A,2310.8168547601035,379.8332423344858,5039.101146415415
ID031,A,3082.376536475638,386.220220802737,7305.8722255533385
ID032,B,2495.756324800103,384.93788849871896,4983.790051612396
ID033,C,2167.4441061016587,388.48303652343805,-1766.6015397672468
ID034,A,2758.6171240435524,399.4797266891983,6274.435434699387
ID035,B,2116.1533929435695,403.5132209880478,4227.463004328235
ID036,C,2565.6690005162304,423.25750739221115,-2153.8729640762112
ID037,A,1883.8582622607237,385.02468938891815,3731.5345286247016
ID038,A,2082.403767737622,414.7648359771488,4198.13742235804
ID039,A,2561.8953274246805,396.79016733661734,5688.9247506199035
ID040,B,2732.1819760970475,399.2580443552135,5464.654585674168
ID041,C,2553.8800634245213,410.12229238249904,-2126.8111243770372
ID042,C,2463.638914116739,383.1591696765655,-2081.4354411351223
ID043,C,2405.3297021884464,405.73614619276077,-1994.1650944406888
ID044,C,2035.1365021439658,402.4967831231958,-1645.3884413585324
ID045,C,2273.673101376995,407.38676896012225,-1861.146647250381
ID046,C,2355.1701282013014,404.33752965861726,-1953.0783297227388
ID047,C,2832.3707993138205,436.8295020986634,-2383.712537266999
ID048,A,2608.037351528608,390.4339002362303,5886.191186023449
ID049,C,1945.6808766984288,392.0350456749727,-1522.5710673192327
ID050,C,2601.895547440923,390.6528921036285,-2204.2870572587317
ID051,C,2378.925915878856,391.66784321259615,-1983.3485168672737
ID052,B,2287.1683134318946,390.4391930904022,4576.669238482717
ID053,A,2692.3177206958558,417.8352479666133,5983.538926740773
ID054,A,2824.157535320976,421.30756371984785,6369.996593485229
ID055,C,2792.8046633574627,391.4388055937579,-2404.910674685373
ID056,B,2236.14082452003,387.5146664034366,4474.303180755295
ID057,B,2402.78024435548,407.0712333457961,4821.371659138255
ID058,B,2604.152848883759,391.71665433578545,5196.2271869841625
ID059,B,2806.72206640485,409.49397726633265,5627.122675543249
ID060,A,2349.342374520987,403.0438453127695,5048.6132778071915
ID061,A,2441.626785490782,377.2638382750415,5437.144342773246
ID062,A,2152.1561740930892,423.2125780199509,4314.94337339141
ID063,A,2123.899543563428,426.93816509643284,4229.713941362986
ID064,C,2755.467012568851,390.8081696427342,-2349.094908367383
ID065,B,2926.4167105537085,394.18447660096024,5852.55900435983
ID066,C,2477.3592295434487,404.2879808608736,-2085.062875470114
ID067,A,2815.5217278924324,405.0168518498054,6415.423625373532
ID068,C,2613.70232478762,409.87816409009247,-2193.736720379473
ID069,C,2297.1672875915506,430.15306808149523,-1860.4534166916387
ID070,B,2613.626734252827,397.34579158758925,5224.386283315618
ID071,C,2983.575532035324,388.0255413319232,-2599.951883645177
ID072,C,2488.7359011475774,379.3102115797821,-2114.126787356321
ID073,B,2991.941092170837,389.0360494008712,5972.813262127692
ID074,A,1676.3234632203626,399.50309540689307,3050.8394209002563
ID075,B,2758.4151440220057,426.9183679527668,5512.962442413475
ID076,A,2527.368551082053,392.2358305144574,5635.532402923777
ID077,C,2405.988816042103,403.3568192745835,-1984.37620414445
ID078,A,2528.850592567567,399.75365655890874,5599.763225685933
ID079,B,1875.0865770743917,417.82589910172123,3744.993710396167
ID080,A,2430.932753908241,437.90398638810433,5108.123090868241
ID081,A,2612.280101481655,392.0369684061952,5876.365115137298
ID082,C,2964.6660648776774,392.6584083622267,-2582.8520788442124
ID083,C,2337.0501703248756,415.6624131560361,-1917.4954457881802
ID084,C,2245.8007613794402,410.22837234439464,-1849.7208665289631
ID085,B,2342.2420932023842,427.7006098860405,4698.736339066308
ID086,B,2787.812445910295,408.7589227798895,5570.04948425301
ID087,C,2603.362947427299,394.6106186381941,-2206.3384129186306
ID088,C,2333.4375931149516,408.85982246038463,-1921.1783161960132
ID089,C,2661.3768992596238,416.6305537087436,-2247.853205235329
ID090,A,2530.522244137882,412.30723271796046,5537.070894441546
ID091,A,2804.5525879313727,407.6091104666095,6369.913367581601
ID092,C,2279.266822524991,416.0001203438373,-1852.8111346116666
ID093,A,2396.979434479292,417.5394338566851,5087.089377991491
ID094,A,2376.716904590924,420.7323848655629,5028.005344399515
ID095,A,2039.8548804916868,409.73064831384465,4094.178547894537
ID096,A,2593.1034564782685,397.4932287952472,5779.840249563303
ID097,A,2582.078635116644,402.20070529649985,5727.099439221134
ID098,A,2501.607726740918,418.09763449762534,5420.501901930535
ID099,B,2426.243237447087,387.74596493519147,4854.641456277449
ID100,B,2054.991945876207,405.5300996330935,4114.191452943696
ID101,A,2367.7445060868586,394.0999178150896,5138.6041747469
ID102,A,2392.2468046085114,400.4311723440223,5182.201209728164
ID103,A,2247.7552447305384,419.17677793910946,4660.698242599542
ID104,C,2449.290006798865,402.86648602029857,-2041.5056968954243
ID105,C,2627.0380121731273,400.69654822234224,-2229.2365558062074
ID106,A,3093.0374937646784,379.6021578853012,7389.172576281963
ID107,A,2554.8891753046546,411.1938034904083,5631.497091680665
ID108,B,2580.9766620216583,409.68226271711615,5160.361719086725
ID109,C,2476.5933891889185,432.4488208495819,-2055.8389199953845
ID110,C,1896.7173268030165,395.383326475705,-1488.0490322958678
ID111,C,2491.6637473346073,403.2872549149591,-2089.8210663870914
ID112,A,2518.9370372927838,403.7407552556613,5512.035301047876
ID113,A,3274.4702831180994,423.66179919645214,7715.270913497843
ID114,A,2439.5196070659103,398.5705670141957,5319.282047895305
ID115,C,2594.809785204181,404.18532288655507,-2191.710861705276
ID116,C,2489.0862396453485,409.11844764574806,-2075.9840280327726
ID117,C,2132.5548324781207,402.7991368473454,-1727.4696994734265
ID118,B,2859.316002363352,393.3034957817421,5727.145426532372
ID119,B,2736.4159762286686,402.9113498934746,5467.606116010499
ID120,C,2748.7091028838317,416.10447624789657,-2326.4473570578225
ID121,A,2214.0786299450147,384.60227050883407,4716.1099771598665
ID122,A,2941.0538865182825,401.9945451122031,6822.054659764482
ID123,C,2059.242681023045,389.4981877759124,-1662.360083438976
ID124,A,2684.5142941011145,417.92569943387264,5952.689120709445
ID125,B,3188.7032257527712,377.15219642824337,6390.438236899643
ID126,A,2188.564536845824,391.61617229092616,4601.181187741472
ID127,B,2321.9497950479217,405.6581781259678,4653.596283675217
ID128,B,2531.3314799797176,423.4828604385151,5067.070407720252
ID129,C,2341.701743239106,399.0137460839052,-1920.6297930336593
ID130,A,2012.4544435191633,391.672007099602,4076.321703271017
ID131,A,2521.5569497778147,428.21735604160887,5419.392267571981
ID132,C,2166.000084296716,378.27979149375636,-1787.9533280736125
ID133,B,2648.902644193003,367.01791065069875,5294.167130991995
ID134,A,2210.9229566255444,406.6002167508,4609.367088945937
ID135,B,2987.31634271115,392.4691866347108,5955.2369581210605
ID136,C,2253.736591302106,384.6815077430393,-1881.6992725888229
ID137,B,2398.740333979759,410.6253467094903,4784.667032900567
ID138,A,2755.778718001071,403.657010706568,6260.454791574056
ID139,A,2113.0027857201694,391.5388205389491,4401.841614936746
ID140,C,2571.5158932441063,380.7954340199366,-2191.9738498466195
ID141,C,2910.9799900926023,413.08685992420214,-2499.91899084668
ID142,B,1994.589675343711,409.7530176693799,3990.01997664478
ID143,B,2558.0509061476005,398.5123620433093,5130.044351926499
ID144,B,2581.709995220903,427.69955494071496,5152.291752831518
ID145,A,2745.8136688166073,383.94872850510774,6320.557791717101
ID146,C,2111.08915668451,377.1171224361289,-1722.2696626909917
ID147,A,2084.8339869649517,389.6213789517813,4312.408196175226
ID148,C,2664.1041414668643,399.3162097546675,-2262.512952313012
ID149,A,2593.375232095467,403.6500917398404,5773.887790698005
ID150,B,2578.7576940744552,396.38145913215504,5125.0766006329195
ID151,B,2608.927109330786,405.28083094771443,5225.988722495943
ID152,B,2286.19278390104,381.2269086371433,4564.536659604551
ID153,A,2573.023104665105,421.6564690610989,5588.819373927544
ID154,B,2592.1451936126346,398.7677323241115,5190.4248184195685
ID155,A,2275.4000947935638,416.7594374738219,4758.886999553537
ID156,A,3086.6199293024,405.14088019566555,7232.506004753341
ID157,C,2648.9782569684044,406.85129828730675,-2230.6924641146625
ID158,A,2125.441140324111,408.5465092034831,4352.938214050781
ID159,B,2706.4276412714544,406.71562840025973,5428.634255985918
ID160,A,2193.5494138944555,409.64084139801315,4552.123609045758
ID161,A,2747.468014942017,419.9372879519865,6151.623134958981
ID162,B,2864.2751321703877,402.94781754552207,5729.455468007594
ID163,C,2241.968495820094,410.6350563638277,-1850.5570291990325
ID164,B,2802.89600026864,398.6539645856916,5602.839250679721
ID165,B,2629.7828417798987,421.6017582317421,5249.446724416003
ID166,B,2758.4647126744208,389.854115469111,5542.980737958816
ID167,B,3096.372476276914,427.0141064936622,6190.63432280464
ID168,C,2422.8472902800395,399.3976307403349,-2021.9712018582907
ID169,C,2263.0170994367563,378.5383734682293,-1877.8609014560413
ID170,C,2220.3269265908066,401.92156622366184,-1817.8821310106753
ID171,C,2243.500316446618,389.7842251378768,-1833.3754788235722
ID172,B,2475.758378595361,412.6096532348309,4944.044964849909
ID173,B,2607.26191517405,390.21064031046416,5216.859119810947
ID174,A,2586.994616001058,393.3072485017783,5785.537958465906
ID175,B,2760.075467947045,371.656889035817,5504.310665759442
ID176,C,2504.08793712673,393.2154052112638,-2118.21376100633
ID177,A,2957.007024421988,363.64181010056564,7052.367581198554
ID178,A,2416.788994663567,376.2414576477141,5364.008069057923
ID179,A,3355.2509612838026,411.40621984216443,8000.4127328821
ID180,C,2696.716662769466,411.7870023797625,-2301.8054699537656
ID181,A,2230.5002817101267,406.3818634267745,4658.594261124963
ID182,C,2163.2996764878944,385.4953578530618,-1795.8609631232048
ID183,C,2651.694608555169,399.28432965787033,-2243.2896073330235
ID184,A,2429.740854242275,399.9459619136415,5290.4820301938325
ID185,B,2724.489570880243,382.62452966211185,5431.488523766907
ID186,A,2648.7910892834734,422.5509745265073,5829.907886293285
ID187,A,2477.1017926663967,413.1604343586351,5356.477329338927
ID188,A,2233.758785930556,396.68553739255503,4721.678764953923
ID189,B,2023.7154508537428,400.40328758491796,4063.516307059763
ID190,B,2359.610811462255,403.12574211921327,4696.719553288761
ID191,C,2769.2611551823898,369.37397697363565,-2398.506865258985
ID192,C,2567.3134166511304,396.29233926219104,-2172.942670935739
ID193,C,2108.3260919622526,389.77023628003303,-1710.499774764814
ID194,C,2554.4499787474388,384.9756998515763,-2166.9159193570104
ID195,A,2621.1480019184264,395.7834956067107,5875.50289574086
ID196,B,2222.1055472455846,426.96529790274286,4440.3824472631695
ID197,B,2548.3328560032905,409.61264291900517,5087.11340172494
ID198,A,2518.3014582392516,391.43231515325806,5610.654884614648
ID199,C,2140.637627267852,408.5887417203424,-1731.7931457634465
ID200,A,2612.4922624781843,420.99033154879004,5755.339417919638
ID201,C,2676.3167935069355,413.86950524369155,-2263.1752180290196
ID202,A,2840.523166067126,400.8944555488026,6508.596339254439
